MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
0.000,512,0,772,64
0.020,578,12,771,0
0.040,583,204,771,0
0.060,579,76,771,0
0.080,577,12,771,0
0.100,577,196,773,0
0.120,577,12,771,0
0.140,574,204,771,0
0.160,575,12,771,0
0.180,575,204,771,0
0.200,575,76,771,0
0.220,574,12,771,0
0.240,575,204,771,0
0.260,573,12,771,0
0.280,576,204,771,0
0.300,574,204,771,0
0.320,577,204,771,1
0.340,575,76,771,1
0.360,575,76,771,1
0.380,576,76,771,1
0.400,577,140,771,1
0.420,575,204,771,1
0.440,574,204,771,1
0.460,575,200,770,1
0.480,575,140,771,1
0.500,576,200,770,1
0.520,574,72,770,1
0.540,575,12,771,1
0.560,574,136,770,2
0.580,575,72,770,2
0.600,575,196,769,2
0.620,575,200,770,2
0.640,575,8,770,2
0.660,574,72,770,2
0.680,575,196,769,2
0.700,575,132,769,2
0.720,575,196,769,2
0.740,574,196,769,2
0.760,575,4,769,2
0.780,575,132,769,2
0.800,575,196,769,2
0.820,575,128,768,2
0.840,575,192,768,2
0.860,574,192,768,2
0.880,575,192,768,2
0.900,574,192,768,2
0.920,575,128,768,2
0.940,576,192,768,2
0.960,576,192,768,2
0.980,576,204,767,2
1.000,575,128,768,2
1.020,576,204,767,2
1.040,575,204,767,2
1.060,576,204,767,2
1.080,575,204,767,2
1.100,576,200,766,2
1.120,575,136,766,2
1.140,575,200,766,2
1.160,576,136,766,2
1.180,575,200,766,2
1.200,575,4,765,2
1.220,577,4,765,2
1.240,576,4,765,2
1.260,576,196,765,2
1.280,576,0,764,2
1.300,575,192,764,2
1.320,576,0,764,2
1.340,576,192,764,2
1.360,576,0,764,2
1.380,576,204,763,2
1.400,576,204,763,2
1.420,576,12,763,2
1.440,576,204,763,2
1.460,577,200,762,2
1.480,576,72,762,2
1.500,576,4,761,2
1.520,576,4,761,2
1.540,576,4,761,2
1.560,577,192,760,2
1.580,577,0,760,2
1.600,577,0,760,2
1.620,576,12,759,2
1.640,576,12,759,2
1.660,576,12,759,2
1.680,577,8,758,2
1.700,577,8,758,2
1.720,577,72,758,2
1.740,577,8,758,2
1.760,576,4,757,2
1.780,577,0,756,2
1.800,577,0,756,2
1.820,577,76,755,2
1.840,578,76,755,2
1.860,577,76,755,2
1.880,577,12,755,2
1.900,577,8,754,2
1.920,577,8,754,2
1.940,577,68,753,2
1.960,577,68,753,2
1.980,577,68,753,2
2.000,578,64,752,2
2.020,578,0,752,2
2.040,576,64,752,2
2.060,576,64,752,2
2.080,577,76,751,2
2.100,578,140,751,2
2.120,577,72,750,2
2.140,577,72,750,2
2.160,577,72,750,2
2.180,577,68,749,2
2.200,578,64,748,2
2.220,577,64,748,2
2.240,577,76,747,2
2.260,578,140,747,2
2.280,577,136,746,2
2.300,577,8,746,2
2.320,577,4,745,2
2.340,577,68,745,2
2.360,577,128,744,2
2.380,577,64,744,2
2.400,577,76,743,2
2.420,576,76,743,2
2.440,576,72,742,2
2.460,576,132,741,2
2.480,578,68,741,2
2.500,578,64,740,2
2.520,577,128,740,2
2.540,577,76,739,2
2.560,577,76,739,2
2.580,576,76,739,2
2.600,576,72,738,2
2.620,577,72,738,2
2.640,578,68,737,2
2.660,577,64,736,2
2.680,577,0,736,2
2.700,575,0,736,2
2.720,577,12,735,2
2.740,577,136,734,2
2.760,576,136,734,2
2.780,576,68,733,2
2.800,576,64,732,2
2.820,576,64,732,2
2.840,576,12,731,2
2.860,575,8,730,2
2.880,575,72,730,2
2.900,575,132,729,2
2.920,575,68,729,2
2.940,575,64,728,2
2.960,575,192,728,2
2.980,575,76,727,2
3.000,576,76,727,2
3.020,575,4,725,2
3.040,575,4,725,2
3.060,575,0,724,2
3.080,574,0,724,2
3.100,575,12,723,2
3.120,575,200,722,2
3.140,575,196,721,2
3.160,576,196,721,2
3.180,575,192,720,2
3.200,575,192,720,2
3.220,575,204,719,2
