# [0]SEQN, [1]Timestamp, [2]CPU_User, [3]CPU_System, [4]CPU_Nice, [5]CPU_IOWait, [6]CPU_IRQ, [7]CPU_SoftIRQ, [8]RAM_Used, [9]RAM_Buffer, [10]RAM_Cached, [11]PID, [12]Disk_Used, [13]Disk_Read, [14]Disk_Write, [15]IO_lo_Bytes_Sent, [16]IO_lo_Bytes_Recv, [17]IO_lo_Packets_Sent, [18]IO_lo_Packets_Recv, [19]IO_eth0_Bytes_Sent, [20]IO_eth0_Bytes_Recv, [21]IO_eth0_Packets_Sent, [22]IO_eth0_Packets_Recv, [23]IO_wlan0_Bytes_Sent, [24]IO_wlan0_Bytes_Recv, [25]IO_wlan0_Packets_Sent, [26]IO_wlan0_Packets_Recv, [27]Core_Temp
3,201725993425169,4.09999990463,4.09999990463,0.0,0.0,0.0,1.0,109182976,25849856,35741696,69,2581377024,0,0,0,0,0,0,897,384687,10,1163,328269,0,238,0,55000
30,201726500077307,1.10000002384,1.10000002384,0.0,0.0,0.0,1.10000002384,109182976,25849856,35741696,69,2581405696,0,0,156,156,1,1,0,405958,0,1172,377964,0,277,0,56000
56,201727006589483,2.20000004768,4.30000019073,0.0,0.0,0.0,1.10000002384,109084672,25849856,35786752,69,2581438464,0,0,156,156,1,1,0,460604,0,1213,431692,0,317,0,56000
81,201727512969589,1.10000002384,4.30000019073,0.0,1.10000002384,0.0,1.10000002384,109084672,25849856,35786752,69,2581467136,0,40960,156,156,1,1,0,359576,0,1137,329518,0,242,0,56000
106,201728018618597,2.20000004768,4.30000019073,0.0,0.0,0.0,0.0,109150208,25849856,35848192,69,2581495808,0,0,156,156,1,1,0,408686,0,1174,379146,0,278,0,56000
132,201728524949464,1.10000002384,2.20000004768,0.0,0.0,0.0,2.20000004768,109346816,25849856,35848192,69,2581524480,0,0,156,156,1,1,64,397710,1,1165,368102,0,270,0,56000
158,201729031416383,1.10000002384,2.20000004768,0.0,0.0,0.0,0.0,109281280,25849856,35905536,69,2581557248,0,0,156,156,1,1,0,446984,0,1203,417826,0,306,0,56000
183,201729537898527,3.20000004768,4.19999980927,0.0,0.0,0.0,0.0,109289472,25849856,35905536,69,2581585920,0,0,156,156,1,1,0,352766,0,1132,324042,0,238,0,56000
209,201730044078468,1.10000002384,2.20000004768,0.0,0.0,0.0,1.10000002384,109355008,25849856,35966976,69,2581614592,0,0,156,156,1,1,0,393792,0,1163,363976,0,267,0,56000
235,201730550834251,2.09999990463,4.19999980927,0.0,0.0,0.0,1.10000002384,109289472,25849856,35966976,69,2581647360,0,0,156,156,1,1,0,403234,0,1170,375100,0,275,0,55000
