# [0]SEQN, [1]Timestamp, [2]Temperature, [3]TS1Temperature, [4]TS2Temperature, [5]TempRange, [6]Voltage, [7]Current, [8]AverageCurrent, [9]CellVoltage1, [10]CellVoltage2, [11]CellVoltage3, [12]CellVoltage4, [13]PackVoltage, [14]AverageVoltage
43,201726767744655,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
93,201727767683334,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.436,16.65
144,201728767670693,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.437,16.65
195,201729767437912,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.436,16.65
245,201730767595893,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.436,16.65
296,201731767527868,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.436,16.65
346,201732767469411,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
397,201733767422827,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
448,201734767463195,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
498,201735769477068,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
549,201736769396402,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
599,201737769703005,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
650,201738767631513,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
701,201739767761557,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
751,201740767411862,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
802,201741767124744,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
852,201742767118598,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.433,16.65
903,201743767032763,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
954,201744766973328,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1004,201745767038001,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1055,201746767018655,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1105,201747768998307,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1156,201748766920598,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1207,201749768910865,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1257,201750769136104,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1308,201751768772929,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1358,201752767120694,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1409,201753767134103,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1460,201754767038840,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1510,201755766699341,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.43,16.65
1561,201756766905722,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1611,201757766835741,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1662,201758766496173,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
1713,201759766490726,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.433,16.65
1763,201760766374230,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1814,201761766418300,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1864,201762766398814,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.43,16.65
1915,201763766323805,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
1966,201764766303202,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2016,201765766276802,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
2067,201766766254592,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2117,201767766208008,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2168,201768766128319,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2218,201769766089627,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2268,201770765902872,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
2319,201771766077824,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2369,201772766060923,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2420,201773766012802,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2471,201774765980675,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
2521,201775765917958,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2572,201776765899729,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2622,201777765875704,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
2673,201778765832053,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2724,201779765834008,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
2774,201780766007215,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2825,201781766001558,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2875,201782766215691,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2926,201783766055126,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
2976,201784765982840,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3026,201785765912371,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3077,201786765566028,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3127,201787765406650,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3178,201788765465386,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3228,201789765335202,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3278,201790765347564,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3329,201791765324098,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3379,201792765215634,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3430,201793765249018,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3480,201794765201037,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3530,201795765129310,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3581,201796765174498,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3631,201797765134758,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.43,16.65
3682,201798765100187,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3732,201799764991304,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3782,201800765033907,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3833,201801764930263,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.43,16.65
3883,201802764913152,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
3934,201803764742320,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
3984,201804764870828,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4034,201805764802872,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4085,201806764756498,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4135,201807764743228,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4186,201808764709774,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4236,201809764666193,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4286,201810764445076,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4337,201811764540339,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4387,201812764498015,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4438,201813764532517,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4489,201814764308257,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4539,201815764181704,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
4590,201816764397723,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4640,201817764363711,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4691,201818764322854,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4742,201819764309793,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4792,201820764246866,312.3,312.3,312.5,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4843,201821764232549,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4893,201822764043977,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4944,201823764140358,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
4994,201824764146574,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5044,201825764063184,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5095,201826764030638,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5145,201827763993133,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5196,201828767645693,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5246,201829767585070,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5296,201830767442035,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5347,201831767456842,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5397,201832767138924,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5448,201833771191325,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5498,201834767399991,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5548,201835771019865,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5598,201836771049547,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5648,201837771038094,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5699,201838770887865,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
5749,201839769557039,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5799,201840770291281,312.3,312.3,312.6,8,16.649,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5850,201841768517592,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5900,201842767397128,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
5951,201843768008449,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6001,201844768172925,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6051,201845769330754,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6102,201846768329998,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6152,201847767890347,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6203,201848767709598,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.433,16.65
6254,201849768470658,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6304,201850768188779,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6355,201851768811065,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6405,201852768752189,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6456,201853768067674,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6507,201854767815757,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
6557,201855767328893,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6608,201856766722811,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6658,201857766664353,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6709,201858767231325,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6760,201859765715071,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6810,201860766533122,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6861,201861765394918,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6911,201862766050588,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
6962,201863763502080,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7012,201864763116556,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7062,201865763234797,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7113,201866763226207,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7163,201867762884963,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7214,201868762990283,312.3,312.3,312.6,8,16.649,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7265,201869762956759,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7315,201870762795007,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
7366,201871762409413,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7416,201872762368836,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7467,201873762322880,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.433,16.65
7518,201874762288239,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7568,201875762220563,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7619,201876762206105,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
7669,201877762111191,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7720,201878762088563,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7770,201879762065306,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.431,16.65
7820,201880762041071,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7871,201881761988340,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7921,201882761924017,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
7972,201883761816601,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.432,16.65
8022,201884761892868,312.3,312.3,312.6,8,16.65,0.0,0.0,4.168,4.159,4.152,4.171,16.433,16.65
