# L-11 Launch (Up to date)
# 3480 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24.3 m/s).
#
# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position upwind (km),Position parallel to wind (km),Lateral distance (km),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.6586,0,8.6586,0,0,0,0,0,0.015112,43.8,-120.6,9.8008,89.918,0,0,0,33.868,6.7778,39.567,0.1267,NaN,2.4715,NaN,0.015298,1095521,38.685,0,0.72521,5.3239e-9,0.47252,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.014909
2e-3,0,0,-6.3741,0,6.3741,0,0,0,0,0,0.011125,43.8,-120.6,9.8008,89.918,0,0,0,33.868,6.7778,39.567,0.1267,NaN,2.4715,NaN,0.01525,1092041,116.06,0,0.72551,5.3261e-9,0.47281,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.035354
4e-3,0,0,-4.0896,0,4.0896,0,0,0,0,0,0.0071377,43.8,-120.6,9.8008,89.918,0,0,0,33.867,6.7774,39.567,0.1267,NaN,2.4715,NaN,0.015201,1088562,193.42,0,0.72581,5.3282e-9,0.47311,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.0367
6e-3,0,0,-1.805,0,1.805,0,0,0,0,0,0.0031503,43.8,-120.6,9.8008,89.918,0,0,0,33.867,6.777,39.567,0.1267,NaN,2.4715,NaN,0.015153,1085082,270.8,0,0.7261,5.3304e-9,0.47341,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.03781
8e-3,0,0,0.47965,0,0.47965,0,0,0,0,0,8.3714e-4,43.8,-120.6,9.8008,89.918,0,0,0,33.867,6.7766,39.567,0.1267,NaN,2.4715,NaN,0.015104,1081603,348.16,0,0.7264,5.3326e-9,0.47371,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.038949
0.01,0,9.5949e-4,2.7643,9.5949e-4,2.7643,0,0,0,35,1.6746e-6,0.0048247,43.8,-120.6,9.8008,89.907,0,0,0,33.866,6.7762,39.567,0.1267,NaN,2.4715,NaN,0.015056,1078124,425.54,0,0.7267,7.7602e-9,0.47401,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.009e-7,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.041424
0.012,8.4073e-9,0.0064884,5.0491,0.0064884,5.0491,0,0,0,35,1.1324e-5,0.0088123,43.8,-120.6,9.8008,89.844,0,0,0,33.866,6.7759,39.566,0.1267,NaN,2.4715,NaN,0.015007,1074647,502.9,7.6134e-9,0.72701,3.675e-8,0.47431,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8234e-7,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.042916
0.014,3.1482e-8,0.016587,7.3339,0.016587,7.3339,0,0,0,35,2.895e-5,0.0128,43.8,-120.6,9.8008,89.728,0,0,0,33.865,6.7755,39.566,0.1267,NaN,2.4715,NaN,0.014958,1071175,580.28,3.9986e-8,0.72731,1.9426e-7,0.47461,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7443e-6,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.044165
0.016,7.9324e-8,0.031255,9.6187,0.031255,9.6187,0,0,0,35,5.455e-5,0.016788,43.8,-120.6,9.8008,89.559,0,0,0,33.865,6.7751,39.566,0.1267,NaN,2.4715,NaN,0.01491,1067715,657.65,1.6927e-7,0.72761,8.2771e-7,0.47491,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2868e-6,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.045361
0.018,1.6107e-7,0.050493,11.904,0.050493,11.904,0,0,0,35,8.8127e-5,0.020776,43.8,-120.6,9.8008,89.337,0,0,0,33.865,6.7747,39.566,0.1267,NaN,2.4715,NaN,0.014862,1064276,735.02,5.726e-7,0.72791,2.8181e-6,0.47522,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3099e-6,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.046613
0.02,2.8586e-7,0.0743,15.589,0.074301,15.589,0,0,0,35,1.2968e-4,0.027207,43.8,-120.6,9.8008,89.06,0,0,0,33.864,6.7743,39.565,0.1267,NaN,2.4714,NaN,0.014815,1060868,859.8,1.6162e-6,0.72821,8.0055e-6,0.47552,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8136e-6,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.047852
0.022,4.6564e-7,0.10548,20.675,0.10548,20.675,0,0,0,35,1.841e-4,0.036084,43.8,-120.6,9.8008,88.696,0,0,0,33.863,6.7731,39.565,0.1267,NaN,2.4714,NaN,0.014768,1057519,1032,4.2729e-6,0.72851,2.1299e-5,0.47581,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1092e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.049056
0.024,7.1795e-7,0.14683,25.762,0.14683,25.762,0,0,0,35,2.5627e-4,0.044963,43.8,-120.6,9.8008,88.212,0,0,0,33.861,6.771,39.563,0.12669,NaN,2.4714,NaN,0.014723,1054279,1204.2,1.0905e-5,0.7288,5.4693e-5,0.4761,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5441e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.050352
0.026,1.0631e-6,0.19836,30.849,0.19836,30.85,0,0,0,35,3.462e-4,0.053843,43.8,-120.6,9.8008,87.606,0,0,0,33.859,6.7689,39.562,0.12669,NaN,2.4713,NaN,0.01468,1051204,1376.4,2.586e-5,0.72907,1.3046e-4,0.47638,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.051503
0.028,1.5216e-6,0.26006,35.938,0.26006,35.938,0,0,0,35,4.5389e-4,0.062724,43.8,-120.6,9.8008,86.878,0,0,0,33.857,6.7668,39.561,0.12669,NaN,2.4713,NaN,0.01464,1048363,1548.6,5.6628e-5,0.72933,2.8722e-4,0.47663,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7349e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.05286
0.03,2.1136e-6,0.33194,41.027,0.33194,41.027,0,0,0,35,5.7935e-4,0.071606,43.8,-120.6,9.8008,86.027,0,0,0,33.855,6.7648,39.56,0.12669,NaN,2.4712,NaN,0.014605,1045841,1720.8,1.1511e-4,0.72955,5.8668e-4,0.47686,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4908e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.054071
0.032,2.8595e-6,0.414,46.117,0.414,46.117,0,0,0,35,7.2257e-4,0.080489,43.8,-120.6,9.8008,85.053,0,0,0,33.853,6.7627,39.559,0.12668,NaN,2.4712,NaN,0.014575,1043736,1893,2.1905e-4,0.72974,0.0011209,0.47705,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3537e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.055322
0.034,3.7797e-6,0.50624,51.207,0.50624,51.207,5.4039e-9,0,6.5969e-9,35,8.8356e-4,0.089373,43.8,-120.6,9.8008,83.956,0,0,0,33.851,6.7606,39.557,0.12668,NaN,2.4712,NaN,0.014553,1042161,2065.2,3.9354e-4,0.72988,0.0020199,0.47719,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3237e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.057202
0.036,4.8946e-6,0.60866,56.298,0.60866,56.298,6.9978e-9,0,8.5428e-9,35,0.0010623,0.098258,43.8,-120.6,9.8008,82.738,0,0,0,33.849,6.7585,39.556,0.12668,NaN,2.4711,NaN,0.01454,1041241,2237.3,6.7251e-4,0.72997,0.0034578,0.47727,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4008e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.058358
0.038,6.2246e-6,0.72126,61.389,0.72126,61.389,8.8992e-9,6.2313e-9,1.0864e-8,35,0.0012588,0.10714,43.8,-120.6,9.8008,81.4,0,0,0,33.846,6.7564,39.555,0.12668,NaN,2.4711,NaN,0.014539,1041116,2409.5,0.0011002,0.72998,0.0056584,0.47728,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.585e-5,0.1397,153.28,89.9,35,NaN,5.9715,857.37,334.92,2e-3,0.059479
0.04,7.7899e-6,0.84405,66.481,0.84405,66.482,1.1137e-8,7.7983e-9,1.3596e-8,35,0.0014731,0.11603,43.8,-120.6,9.8008,79.944,0,0,0,33.844,6.7544,39.554,0.12667,NaN,2.471,NaN,0.01455,1041937,2581.7,0.0017327,0.7299,0.0088968,0.47721,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8762e-5,0.1397,153.28,89.9,35,NaN,5.9714,857.37,334.92,2e-3,0.061398
0.042,9.6109e-6,0.97702,71.574,0.97702,71.574,1.3741e-8,9.6213e-9,1.6774e-8,35,0.0017052,0.12492,43.8,-120.6,9.8008,78.374,0,0,0,33.842,6.7523,39.553,0.12667,NaN,2.471,NaN,0.014577,1043866,2753.9,0.0026383,0.72973,0.013497,0.47704,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0275e-4,0.1397,153.28,89.9,35,NaN,5.9714,857.37,334.92,2e-3,0.062612
0.044,1.1708e-5,1.1202,76.668,1.1202,76.668,1.6739e-8,1.1721e-8,2.0435e-8,35,0.0019551,0.13381,43.8,-120.6,9.8008,76.695,0,0,0,33.84,6.7502,39.551,0.12667,NaN,2.4709,NaN,0.014622,1047075,2926.1,0.0038992,0.72944,0.019825,0.47675,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.178e-4,0.1397,153.28,89.9,35,NaN,5.9714,857.37,334.92,2e-3,0.063861
0.046,1.4102e-5,1.2735,81.762,1.2735,81.762,2.0161e-8,1.4117e-8,2.4612e-8,35,0.0022227,0.1427,43.8,-120.6,9.8008,74.913,0,0,0,33.838,6.7481,39.55,0.12667,NaN,2.4709,NaN,0.014687,1051741,3098.3,0.0056108,0.72902,0.028276,0.47633,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3393e-4,0.1397,153.28,89.9,35,NaN,5.9714,857.37,334.92,2e-3,0.065204
0.048,1.6812e-5,1.4371,86.856,1.4371,86.856,2.4037e-8,1.6831e-8,2.9343e-8,35,0.0025081,0.15159,43.8,-120.6,9.8008,73.036,0,0,0,33.836,6.746,39.549,0.12666,NaN,2.4709,NaN,0.014775,1058049,3270.5,0.0078825,0.72846,0.039251,0.47577,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5112e-4,0.1397,153.28,89.9,35,NaN,5.9714,857.37,334.92,2e-3,0.066558
0.05,1.986e-5,1.6108,90.297,1.6108,90.297,2.8394e-8,1.9882e-8,3.4663e-8,35,0.0028113,0.1576,43.8,-120.6,9.8008,71.072,0,0,0,33.834,6.744,39.548,0.12666,NaN,2.4708,NaN,0.014889,1066183,3386.7,0.010836,0.72774,0.053138,0.47505,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6939e-4,0.1397,153.28,89.9,35,NaN,5.9714,857.37,334.92,2e-3,0.067716
# Event LIFTOFF occurred at t=0.052 seconds
0.052,2.3262e-5,1.7914,92.086,1.7914,92.086,3.3258e-8,2.3288e-8,4.0601e-8,35,0.0031266,0.16072,43.8,-120.6,9.8008,69.191,0,0,0,33.831,6.7412,39.546,0.12666,NaN,2.4708,NaN,0.015113,1082228,3447,0.014451,0.72635,0.068783,0.47365,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8839e-4,0.1397,153.28,89.9,35,NaN,5.9713,857.36,334.92,2e-3,0.068902
0.054,2.7029e-5,1.9756,93.877,1.9756,93.877,3.8644e-8,2.7059e-8,4.7175e-8,35,0.003448,0.16385,43.8,-120.6,9.8008,67.33,0,0,0,33.828,6.7376,39.544,0.12665,NaN,2.4707,NaN,0.015357,1099700,3507.2,0.018787,0.72486,0.086597,0.47216,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0776e-4,0.1397,153.28,89.9,35,NaN,5.9713,857.36,334.92,2e-3,0.070209
0.056,3.1168e-5,2.1633,95.669,2.1633,95.669,4.4561e-8,3.1202e-8,5.4399e-8,35,0.0037757,0.16697,43.8,-120.6,9.8008,65.493,0,0,0,33.824,6.7341,39.542,0.12665,NaN,2.4706,NaN,0.015621,1118613,3567.4,0.0239,0.72328,0.10647,0.47058,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.275e-4,0.1397,153.28,89.9,35,NaN,5.9713,857.36,334.92,2e-3,0.071352
0.058,3.5686e-5,2.3547,97.461,2.3547,97.461,5.102e-8,3.5725e-8,6.2284e-8,35,0.0041097,0.1701,43.8,-120.6,9.8008,63.684,0,0,0,33.821,6.7306,39.54,0.12665,NaN,2.4705,NaN,0.015905,1138976,3627.7,0.029848,0.72162,0.12826,0.46892,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4763e-4,0.1397,153.28,89.9,35,NaN,5.9713,857.36,334.92,2e-3,0.072464
0.06,4.0591e-5,2.5496,98.28,2.5496,98.28,5.8032e-8,4.0634e-8,7.0844e-8,35,0.00445,0.17153,43.8,-120.6,9.8008,61.908,0,0,0,33.817,6.727,39.538,0.12664,NaN,2.4705,NaN,0.01621,1160793,3655,0.036683,0.71989,0.15176,0.46718,0.13267,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6813e-4,0.1397,153.28,89.9,35,NaN,5.9712,857.36,334.92,2e-3,0.073633
0.062,4.5886e-5,2.7462,98.127,2.7462,98.128,6.5603e-8,4.5936e-8,8.0087e-8,35,0.0047931,0.17126,43.8,-120.6,9.8008,60.183,0,0,0,33.813,6.7235,39.536,0.12664,NaN,2.4704,NaN,0.016532,1183860,3649.5,0.044375,0.7181,0.1765,0.46539,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.888e-4,0.1397,153.28,89.9,35,NaN,5.9712,857.36,334.92,2e-3,0.074761
0.064,5.1575e-5,2.9425,97.975,2.9425,97.975,7.3737e-8,5.1631e-8,9.0016e-8,35,0.0051356,0.171,43.8,-120.6,9.8008,58.529,0,0,0,33.81,6.7198,39.533,0.12663,NaN,2.4703,NaN,0.016868,1207923,3643.9,0.052856,0.71628,0.20194,0.46357,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0944e-4,0.1397,153.28,89.9,35,NaN,5.9712,857.36,334.92,2e-3,0.075875
0.066,5.7656e-5,3.1385,97.822,3.1385,97.822,8.243e-8,5.7718e-8,1.0063e-7,35,0.0054777,0.17073,43.8,-120.6,9.8008,56.943,0,0,0,33.806,6.7162,39.531,0.12663,NaN,2.4702,NaN,0.017217,1232918,3638.4,0.062121,0.71444,0.22781,0.46173,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3005e-4,0.1397,153.28,89.9,35,NaN,5.9711,857.36,334.92,2e-3,0.076992
0.068,6.4129e-5,3.3341,97.669,3.3341,97.669,9.1684e-8,6.4198e-8,1.1193e-7,35,0.0058191,0.17046,43.8,-120.6,9.8008,55.424,0,0,0,33.803,6.7126,39.529,0.12662,NaN,2.4702,NaN,0.017578,1258782,3632.8,0.07216,0.71258,0.25386,0.45987,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5062e-4,0.1397,153.28,89.9,35,NaN,5.9711,857.36,334.92,2e-3,0.078106
0.07,7.0992e-5,3.5295,97.516,3.5295,97.516,1.015e-7,7.1069e-8,1.2391e-7,35,0.0061601,0.1702,43.8,-120.6,9.8008,53.969,0,0,0,33.799,6.7089,39.527,0.12662,NaN,2.4701,NaN,0.017951,1285457,3627.3,0.082963,0.71072,0.27988,0.458,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7117e-4,0.1397,153.28,89.9,35,NaN,5.971,857.36,334.92,2e-3,0.08093
0.072,7.8246e-5,3.7245,97.363,3.7245,97.363,1.1187e-7,7.8331e-8,1.3657e-7,35,0.0065005,0.16993,43.8,-120.6,9.8008,52.577,0,0,0,33.795,6.7053,39.525,0.12662,NaN,2.47,NaN,0.018334,1312886,3621.7,0.094517,0.70885,0.30567,0.45614,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9168e-4,0.1397,153.28,89.9,35,NaN,5.971,857.36,334.92,2e-3,0.082229
0.074,8.589e-5,3.9193,97.21,3.9193,97.21,1.228e-7,8.5983e-8,1.4991e-7,35,0.0068404,0.16966,43.8,-120.6,9.8008,51.244,0,0,0,33.792,6.7017,39.523,0.12661,NaN,2.4699,NaN,0.018727,1341018,3616.2,0.10681,0.70699,0.33108,0.45427,0.13267,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1216e-4,0.1397,153.28,89.9,35,NaN,5.9709,857.36,334.92,2e-3,0.083538
0.076,9.3923e-5,4.1137,97.056,4.1137,97.057,1.3428e-7,9.4025e-8,1.6393e-7,35,0.0071798,0.1694,43.8,-120.6,9.8008,49.969,0,0,0,33.788,6.6981,39.521,0.12661,NaN,2.4699,NaN,0.019129,1369803,3610.6,0.11982,0.70514,0.35597,0.45242,0.13267,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3261e-4,0.1397,153.28,89.9,35,NaN,5.9709,857.36,334.92,2e-3,0.084811
0.078,1.0234e-4,4.3078,96.903,4.3078,96.903,1.4632e-7,1.0246e-7,1.7863e-7,35,0.0075186,0.16913,43.8,-120.6,9.8008,48.749,0,0,0,33.784,6.6944,39.519,0.1266,NaN,2.4698,NaN,0.019539,1399195,3605.1,0.13354,0.7033,0.38023,0.45058,0.13268,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5302e-4,0.1397,153.28,89.9,35,NaN,5.9708,857.36,334.92,2e-3,0.08603
0.08,1.1115e-4,4.5017,96.75,4.5017,96.75,1.5892e-7,1.1127e-7,1.94e-7,35,0.0078569,0.16886,43.8,-120.6,9.8008,47.582,0,0,0,33.781,6.6908,39.516,0.1266,NaN,2.4697,NaN,0.019958,1429151,3599.5,0.14794,0.70148,0.40377,0.44875,0.13268,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7341e-4,0.1397,153.28,89.9,35,NaN,5.9708,857.36,334.92,2e-3,0.087279
0.082,1.2035e-4,4.6952,96.597,4.6952,96.597,1.7206e-7,1.2048e-7,2.1005e-7,35,0.0081947,0.16859,43.8,-120.6,9.8008,46.465,0,0,0,33.777,6.6872,39.514,0.12659,NaN,2.4696,NaN,0.020383,1459631,3594,0.16302,0.69967,0.42654,0.44694,0.13268,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9376e-4,0.1397,153.28,89.9,35,NaN,5.9707,857.35,334.92,2e-3,0.088489
0.084,1.2993e-4,4.8884,96.443,4.8884,96.443,1.8577e-7,1.3007e-7,2.2678e-7,35,0.0085319,0.16833,43.8,-120.6,9.8008,45.395,0,0,0,33.774,6.6836,39.512,0.12659,NaN,2.4695,NaN,0.020816,1490596,3588.4,0.17876,0.69788,0.44848,0.44515,0.13268,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1408e-4,0.1397,153.28,89.9,35,NaN,5.9707,857.35,334.92,2e-3,0.089822
0.086,1.399e-4,5.0813,96.29,5.0813,96.29,2.0002e-7,1.4006e-7,2.4418e-7,35,0.0088686,0.16806,43.8,-120.6,9.8008,44.372,0,0,0,33.77,6.6799,39.51,0.12659,NaN,2.4695,NaN,0.021255,1522013,3582.9,0.19513,0.69612,0.46956,0.44338,0.13268,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3436e-4,0.1397,153.28,89.9,35,NaN,5.9706,857.35,334.92,2e-3,0.091176
0.088,1.5026e-4,5.2739,96.136,5.2739,96.137,2.1482e-7,1.5042e-7,2.6225e-7,35,0.0092047,0.16779,43.8,-120.6,9.8008,43.392,0,0,0,33.766,6.6763,39.508,0.12658,NaN,2.4694,NaN,0.021699,1553847,3577.3,0.21213,0.69438,0.48976,0.44164,0.13268,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5462e-4,0.1397,153.28,89.9,35,NaN,5.9705,857.35,334.92,2e-3,0.092292
0.09,1.61e-4,5.4662,95.983,5.4662,95.983,2.3018e-7,1.6117e-7,2.81e-7,35,0.0095403,0.16752,43.8,-120.6,9.8008,42.452,0,0,0,33.763,6.6727,39.506,0.12658,NaN,2.4693,NaN,0.022149,1586070,3571.8,0.22974,0.69266,0.50908,0.43992,0.13268,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7484e-4,0.1397,153.28,89.9,35,NaN,5.9705,857.35,334.92,2e-3,0.093415
0.092,1.7212e-4,5.6582,95.829,5.6582,95.829,2.4608e-7,1.7231e-7,3.0041e-7,35,0.0098754,0.16725,43.8,-120.6,9.8008,41.553,0,0,0,33.759,6.6691,39.504,0.12657,NaN,2.4692,NaN,0.022604,1618652,3566.2,0.24793,0.69097,0.52751,0.43823,0.13268,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9503e-4,0.1397,153.28,89.9,35,NaN,5.9704,857.35,334.92,2e-3,0.094543
0.094,1.8363e-4,5.8499,95.676,5.8499,95.676,2.6254e-7,1.8383e-7,3.205e-7,35,0.01021,0.16699,43.8,-120.6,9.8008,40.69,0,0,0,33.755,6.6654,39.501,0.12657,NaN,2.4692,NaN,0.023064,1651568,3560.7,0.26671,0.68931,0.54506,0.43656,0.13268,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1518e-4,0.1397,153.28,89.9,35,NaN,5.9703,857.35,334.92,2e-3,0.095662
0.096,1.9552e-4,6.0412,95.522,6.0412,95.522,2.7954e-7,1.9573e-7,3.4125e-7,35,0.010544,0.16672,43.8,-120.6,9.8008,39.863,0,0,0,33.752,6.6618,39.499,0.12656,NaN,2.4691,NaN,0.023528,1684793,3555.1,0.28605,0.68768,0.56175,0.43492,0.13268,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3531e-4,0.1397,153.28,89.9,35,NaN,5.9702,857.35,334.92,2e-3,0.096858
0.098,2.078e-4,6.2323,95.368,6.2323,95.368,2.9708e-7,2.0802e-7,3.6267e-7,35,0.010877,0.16645,43.8,-120.6,9.8008,39.069,0,0,0,33.748,6.6582,39.497,0.12656,NaN,2.469,NaN,0.023996,1718304,3549.6,0.30594,0.68607,0.5776,0.43331,0.13268,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.554e-4,0.1397,153.28,89.9,35,NaN,5.9701,857.35,334.92,2e-3,0.09815
